Fecha Inicio Viaje,Fecha Fin Viaje,Temporada,ID Origen,ID Destino,Tiempo,Viaje
2019-01-01,2019-01-01,1,50,50,5.077632590315142,5204
2019-01-02,2019-01-02,1,51,51,8.121890004364905,18328
2019-01-03,2019-01-03,1,51,51,5.580442916371726,19778
2019-01-04,2019-01-04,1,51,51,7.455322913594809,20346
2019-01-05,2019-01-05,1,51,51,4.80054432348367,15432
2019-01-06,2019-01-06,1,50,50,8.479789375871148,12914
2019-01-07,2019-01-07,1,51,51,7.386015177326932,25828
2019-01-08,2019-01-08,1,51,51,8.288185068963001,27406
2019-01-09,2019-01-09,1,51,51,8.208965661934402,28598
2019-01-10,2019-01-10,1,51,51,8.052530253025303,29088
2019-01-11,2019-01-11,1,51,51,6.991889934829834,27620
2019-01-12,2019-01-12,1,51,51,2.827873455634594,21368
2019-01-13,2019-01-13,1,50,50,9.712064676616915,16080
2019-01-14,2019-01-14,1,51,51,9.02577873254565,29792
2019-01-15,2019-01-15,1,51,51,8.770293832741363,30970
2019-01-16,2019-01-16,1,51,51,9.52597137014315,34230
2019-01-17,2019-01-17,1,51,51,7.882691864484904,34712
2019-01-18,2019-01-18,1,51,51,6.987009187196442,34178
2019-01-19,2019-01-19,1,51,51,4.195977167708617,22074
2019-01-20,2019-01-20,1,50,50,8.429267187676974,17658
2019-01-21,2019-01-21,1,51,51,9.427253414264037,32950
2019-01-22,2019-01-22,1,51,51,8.871603806030036,34892
2019-01-23,2019-01-23,1,51,51,8.889663587240719,34422
2019-01-24,2019-01-24,1,51,51,7.716846715328467,34250
2019-01-25,2019-01-25,1,51,51,7.299258088056434,32888
2019-01-26,2019-01-26,1,51,51,6.187894191847877,21246
2019-01-27,2019-01-27,1,50,50,11.100675337668834,15992
2019-01-28,2019-01-28,1,51,51,8.955574075261234,31198
2019-01-29,2019-01-29,1,51,51,9.435975983335375,32644
2019-01-30,2019-01-30,1,50,51,8.22007605480775,33134
2019-01-31,2019-01-31,1,51,51,8.061386748844376,32450
2019-02-01,2019-02-01,1,51,51,7.330380640605944,15579
