Fecha Inicio Viaje,Fecha Fin Viaje,Temporada,ID Origen,ID Destino,Tiempo,Viaje
01/01/2019,01/01/2019,1,50,50,5.07763259,5204
02/01/2019,02/01/2019,1,51,51,8.121890004,18328
03/01/2019,03/01/2019,1,51,51,5.580442916,19778
04/01/2019,04/01/2019,1,51,51,7.455322914,20346
05/01/2019,05/01/2019,1,51,51,4.800544323,15432
06/01/2019,06/01/2019,1,50,50,8.479789376,12914
07/01/2019,07/01/2019,1,51,51,7.386015177,25828
08/01/2019,08/01/2019,1,51,51,8.288185069,27406
09/01/2019,09/01/2019,1,51,51,8.208965662,28598
10/01/2019,10/01/2019,1,51,51,8.052530253,29088
11/01/2019,11/01/2019,1,51,51,6.991889935,27620
12/01/2019,12/01/2019,1,51,51,2.827873456,21368
13/01/2019,13/01/2019,1,50,50,9.712064677,16080
14/01/2019,14/01/2019,1,51,51,9.025778733,29792
15/01/2019,15/01/2019,1,51,51,8.770293833,30970
16/01/2019,16/01/2019,1,51,51,9.52597137,34230
17/01/2019,17/01/2019,1,51,51,7.882691864,34712
18/01/2019,18/01/2019,1,51,51,6.987009187,34178
19/01/2019,19/01/2019,1,51,51,4.195977168,22074
20/01/2019,20/01/2019,1,50,50,8.429267188,17658
21/01/2019,21/01/2019,1,51,51,9.427253414,32950
22/01/2019,22/01/2019,1,51,51,8.871603806,34892
23/01/2019,23/01/2019,1,51,51,8.889663587,34422
24/01/2019,24/01/2019,1,51,51,7.716846715,34250
25/01/2019,25/01/2019,1,51,51,7.299258088,32888
26/01/2019,26/01/2019,1,51,51,6.187894192,21246
27/01/2019,27/01/2019,1,50,50,11.10067534,15992
28/01/2019,28/01/2019,1,51,51,8.955574075,31198
29/01/2019,29/01/2019,1,51,51,9.435975983,32644
30/01/2019,30/01/2019,1,50,51,8.220076055,33134
31/01/2019,31/01/2019,1,51,51,8.061386749,32450
01/02/2019,01/02/2019,1,51,51,7.330380641,15579
02/02/2019,02/02/2019,1,51,51,4.9332919,9654
03/02/2019,03/02/2019,1,50,50,9.883208702,7355
04/02/2019,04/02/2019,1,51,51,7.996265774,7766
05/02/2019,05/02/2019,1,51,51,7.120182371,16450
06/02/2019,06/02/2019,1,51,51,8.091739335,16972
07/02/2019,07/02/2019,1,51,51,8.610043322,16389
08/02/2019,08/02/2019,1,51,51,6.7808169,16379
09/02/2019,09/02/2019,1,51,51,6.576660579,10403
10/02/2019,10/02/2019,1,50,50,11.51351676,8323
11/02/2019,11/02/2019,1,51,51,9.901543803,16129
12/02/2019,12/02/2019,1,51,51,9.360650852,16778
13/02/2019,13/02/2019,1,51,51,9.320170505,16891
14/02/2019,14/02/2019,1,51,51,7.204081633,16562
15/02/2019,15/02/2019,1,51,51,5.952461481,15966
16/02/2019,16/02/2019,1,51,51,2.538281021,10227
17/02/2019,17/02/2019,1,50,50,9.690137328,8010
18/02/2019,18/02/2019,1,51,51,8.922689484,16479
19/02/2019,19/02/2019,1,51,51,8.465507909,16627
20/02/2019,20/02/2019,1,51,51,8.280362142,16789
21/02/2019,21/02/2019,1,51,51,8.092739294,16789
22/02/2019,22/02/2019,1,51,51,9.15321155,15273
23/02/2019,23/02/2019,1,51,51,5.444591972,9791
24/02/2019,24/02/2019,1,50,50,10.54011269,7454
25/02/2019,25/02/2019,1,51,51,9.458040567,15086
26/02/2019,26/02/2019,1,51,51,9.002693898,15962
27/02/2019,27/02/2019,1,51,51,8.347680268,16101
28/02/2019,28/02/2019,1,51,51,8.631066734,15824
01/04/2019,01/04/2019,2,194,51,8.983309371,15997
02/04/2019,02/04/2019,2,51,51,7.742386632,16517
03/04/2019,03/04/2019,2,51,51,8.14743666,16814
