Fecha Inicio Viaje	Fecha Fin Viaje	Temporada	ID Origen	ID Destino	Tiempo	Viaje
01/01/2019	01/01/2019	1	50	50	5	5204
02/01/2019	02/01/2019	1	51	51	6	18328
03/01/2019	03/01/2019	1	51	51	6	19778
04/01/2019	04/01/2019	1	51	51	5	20346
05/01/2019	05/01/2019	1	51	51	7	15432
06/01/2019	06/01/2019	1	50	50	8	12914
07/01/2019	07/01/2019	1	51	51	6	25828
08/01/2019	08/01/2019	1	51	51	6	27406
09/01/2019	09/01/2019	1	51	51	5	28598
10/01/2019	10/01/2019	1	51	51	6	29088
11/01/2019	11/01/2019	1	51	51	7	27620
12/01/2019	12/01/2019	1	51	51	7	21368
13/01/2019	13/01/2019	1	50	50	6	16080
14/01/2019	14/01/2019	1	51	51	6	29792
15/01/2019	15/01/2019	1	51	51	7	30970
16/01/2019	16/01/2019	1	51	51	6	34230
17/01/2019	17/01/2019	1	51	51	6	34712
18/01/2019	18/01/2019	1	51	51	7	34178
19/01/2019	19/01/2019	1	51	51	7	22074
20/01/2019	20/01/2019	1	50	50	5	17658
21/01/2019	21/01/2019	1	51	51	6	32950
22/01/2019	22/01/2019	1	51	51	6	34892
23/01/2019	23/01/2019	1	51	51	6	34422
24/01/2019	24/01/2019	1	51	51	7	34250
25/01/2019	25/01/2019	1	51	51	6	32888
26/01/2019	26/01/2019	1	51	51	6	21246
27/01/2019	27/01/2019	1	50	50	7	15992
28/01/2019	28/01/2019	1	51	51	6	31198
29/01/2019	29/01/2019	1	51	51	7	32644
30/01/2019	30/01/2019	1	50	51	5	33134
31/01/2019	31/01/2019	1	51	51	6	32450
01/02/2019	01/02/2019	1	51	51	7	15579
02/02/2019	02/02/2019	1	51	51	6	9654
03/02/2019	03/02/2019	1	50	50	6	7355
04/02/2019	04/02/2019	1	51	51	6	7766
05/02/2019	05/02/2019	1	51	51	6	16450
06/02/2019	06/02/2019	1	51	51	6	16972
07/02/2019	07/02/2019	1	51	51	6	16389
08/02/2019	08/02/2019	1	51	51	7	16379
09/02/2019	09/02/2019	1	51	51	6	10403
10/02/2019	10/02/2019	1	50	50	6	8323
11/02/2019	11/02/2019	1	51	51	5	16129
12/02/2019	12/02/2019	1	51	51	6	16778
13/02/2019	13/02/2019	1	51	51	6	16891
14/02/2019	14/02/2019	1	51	51	7	16562
15/02/2019	15/02/2019	1	51	51	7	15966
16/02/2019	16/02/2019	1	51	51	7	10227
17/02/2019	17/02/2019	1	50	50	6	8010
18/02/2019	18/02/2019	1	51	51	7	16479
19/02/2019	19/02/2019	1	51	51	5	16627
20/02/2019	20/02/2019	1	51	51	6	16789
21/02/2019	21/02/2019	1	51	51	7	16789
22/02/2019	22/02/2019	1	51	51	7	15273
23/02/2019	23/02/2019	1	51	51	6	9791
24/02/2019	24/02/2019	1	50	50	7	7454
25/02/2019	25/02/2019	1	[ 51 194]	51	6	15086
26/02/2019	26/02/2019	1	51	51	7	15962
27/02/2019	27/02/2019	1	51	51	6	16101
28/02/2019	28/02/2019	1	51	51	5	15824
01/04/2019	01/04/2019	2	194	51	6	15997
02/04/2019	02/04/2019	2	51	51	7	16517
03/04/2019	03/04/2019	2	51	51	6	16814
04/04/2019	04/04/2019	2	51	51	6	16108
05/04/2019	05/04/2019	2	51	51	7	15462
06/04/2019	06/04/2019	2	51	51	6	9657
07/04/2019	07/04/2019	2	50	50	6	7277
08/04/2019	08/04/2019	2	194	51	6	15977
09/04/2019	09/04/2019	2	51	51	7	15825
10/04/2019	10/04/2019	2	51	51	6	16031
11/04/2019	11/04/2019	2	51	51	6	15864
12/04/2019	12/04/2019	2	51	51	7	14768
13/04/2019	13/04/2019	2	51	51	6	8966
14/04/2019	14/04/2019	2	50	50	6	6997
15/04/2019	15/04/2019	2	194	51	6	12244
16/04/2019	16/04/2019	2	194	51	6	12073
17/04/2019	17/04/2019	2	194	51	6	11674
18/04/2019	18/04/2019	2	51	51	5	7353
19/04/2019	19/04/2019	2	51	51	6	5739
20/04/2019	21/04/2019	2	51	51	7	5652
21/04/2019	21/04/2019	2	194	51	7	6356
22/04/2019	22/04/2019	2	51	51	6	12210
23/04/2019	23/04/2019	2	[ 51 194]	51	6	12510
24/04/2019	24/04/2019	2	51	51	6	12667
25/04/2019	25/04/2019	2	194	51	7	12339
26/04/2019	26/04/2019	2	194	51	5	11839
27/04/2019	27/04/2019	2	51	51	7	8137
28/04/2019	28/04/2019	2	50	50	5	7097
29/04/2019	29/04/2019	2	51	51	6	15009
30/04/2019	30/04/2019	2	51	51	6	15777
01/05/2019	01/05/2019	2	51	51	6	7636
02/05/2019	02/05/2019	2	50	51	7	15493
03/05/2019	03/05/2019	2	51	51	7	14994
04/05/2019	04/05/2019	2	51	51	7	9435
05/05/2019	05/05/2019	2	50	50	6	7073
06/05/2019	06/05/2019	2	51	51	6	15770
07/05/2019	07/05/2019	2	51	51	5	16132
08/05/2019	08/05/2019	2	51	51	6	15543
09/05/2019	09/05/2019	2	51	51	5	15641
10/05/2019	10/05/2019	2	11	51	7	13260
11/05/2019	11/05/2019	2	51	51	6	9063
12/05/2019	12/05/2019	2	50	50	8	7269
13/05/2019	13/05/2019	2	51	51	6	15385
14/05/2019	14/05/2019	2	51	51	6	15925
15/05/2019	15/05/2019	2	51	51	6	14905
16/05/2019	16/05/2019	2	51	51	7	15630
17/05/2019	17/05/2019	2	51	51	6	14978
18/05/2019	18/05/2019	2	51	51	6	9519
19/05/2019	19/05/2019	2	51	51	6	7282
20/05/2019	20/05/2019	2	11	51	6	15269
21/05/2019	21/05/2019	2	51	51	8	15862
22/05/2019	22/05/2019	2	51	51	6	15937
23/05/2019	23/05/2019	2	51	51	7	15310
24/05/2019	24/05/2019	2	51	51	6	14548
25/05/2019	25/05/2019	2	51	51	7	9399
26/05/2019	26/05/2019	2	50	50	6	7553
27/05/2019	27/05/2019	2	51	51	6	15418
28/05/2019	28/05/2019	2	50	51	6	16011
29/05/2019	29/05/2019	2	51	51	6	15668
30/05/2019	30/05/2019	2	51	51	6	15660
31/05/2019	31/05/2019	2	51	51	6	13574
01/06/2019	01/06/2019	3	50	50	6	9886
02/06/2019	02/06/2019	3	50	50	6	6891
03/06/2019	03/06/2019	3	51	51	6	14074
04/06/2019	04/06/2019	3	50	51	7	15570
05/06/2019	05/06/2019	3	51	51	6	15600
06/06/2019	06/06/2019	3	51	51	7	15332
07/06/2019	07/06/2019	3	51	51	6	14698
08/06/2019	08/06/2019	3	51	51	5	8841
09/06/2019	09/06/2019	3	50	50	6	7399
10/06/2019	10/06/2019	3	51	51	6	15016
