Fecha Inicio Viaje,Viaje
2019-01-01,5204
2019-01-02,18328
2019-01-03,19778
2019-01-04,20346
2019-01-05,15432
2019-01-06,12914
2019-01-07,25828
2019-01-08,27406
2019-01-09,28598
2019-01-10,29088
2019-01-11,27620
2019-01-12,21368
2019-01-13,16080
2019-01-14,29792
2019-01-15,30970
2019-01-16,34230
2019-01-17,34712
2019-01-18,34178
2019-01-19,22074
2019-01-20,17658
2019-01-21,32950
2019-01-22,34892
2019-01-23,34422
2019-01-24,34250
2019-01-25,32888
2019-01-26,21246
2019-01-27,15992
2019-01-28,31198
2019-01-29,32644
2019-01-30,33134
2019-01-31,32450
2019-02-01,15579
2019-02-02,9654
2019-02-03,7355
2019-02-04,7766
2019-02-05,16450
2019-02-06,16972
2019-02-07,16389
2019-02-08,16379
2019-02-09,10403
2019-02-10,8323
2019-02-11,16129
2019-02-12,16778
2019-02-13,16891
2019-02-14,16562
2019-02-15,15966
2019-02-16,10227
2019-02-17,8010
2019-02-18,16479
2019-02-19,16627
2019-02-20,16789
2019-02-21,16789
2019-02-22,15273
2019-02-23,9791
2019-02-24,7454
2019-02-25,15086
2019-02-26,15962
2019-02-27,16101
2019-02-28,15824
2019-04-01,15997
2019-04-02,16517
2019-04-03,16814
2019-04-04,16108
2019-04-05,15462
2019-04-06,9657
2019-04-07,7277
2019-04-08,15977
2019-04-09,15825
2019-04-10,16031
2019-04-11,15864
2019-04-12,14768
2019-04-13,8966
2019-04-14,6997
2019-04-15,12244
2019-04-16,12073
2019-04-17,11674
2019-04-18,7353
2019-04-19,5739
2019-04-20,5652
2019-04-21,6356
2019-04-22,12210
2019-04-23,12510
2019-04-24,12667
2019-04-25,12339
2019-04-26,11839
2019-04-27,8137
2019-04-28,7097
2019-04-29,15009
2019-04-30,15777
2019-05-01,7636
2019-05-02,15493
2019-05-03,14994
2019-05-04,9435
2019-05-05,7073
2019-05-06,15770
2019-05-07,16132
2019-05-08,15543
2019-05-09,15641
2019-05-10,13260
2019-05-11,9063
2019-05-12,7269
2019-05-13,15385
2019-05-14,15925
2019-05-15,14905
2019-05-16,15630
2019-05-17,14978
2019-05-18,9519
2019-05-19,7282
2019-05-20,15269
2019-05-21,15862
2019-05-22,15937
2019-05-23,15310
2019-05-24,14548
2019-05-25,9399
2019-05-26,7553
2019-05-27,15418
2019-05-28,16011
2019-05-29,15668
2019-05-30,15660
2019-05-31,13574
2019-06-01,9886
2019-06-02,6891
2019-06-03,14074
2019-06-04,15570
2019-06-05,15600
2019-06-06,15332
2019-06-07,14698
2019-06-08,8841
2019-06-09,7399
2019-06-10,15016
2019-06-11,15268
2019-06-12,15051
2019-06-13,14947
2019-06-14,14377
2019-06-15,9348
2019-06-16,5825
2019-06-17,14563
2019-06-18,15399
2019-06-19,14215
2019-06-20,14933
2019-06-21,14473
2019-06-22,9207
2019-06-23,6896
2019-06-24,14501
2019-06-25,13828
2019-06-26,14138
2019-06-27,14494
2019-06-28,14175
2019-06-29,9192
2019-06-30,6771
2019-07-01,13976
2019-07-02,14816
2019-07-03,14948
2019-07-04,14390
2019-07-05,14181
2019-07-06,9010
2019-07-07,7156
2019-07-08,12460
2019-07-09,13535
2019-07-10,14141
2019-07-11,14552
2019-07-12,13326
2019-07-13,8726
2019-07-14,6698
2019-07-15,12146
2019-07-16,14818
2019-07-17,14368
2019-07-18,13144
2019-07-19,12014
2019-07-20,8018
2019-07-21,6250
2019-07-22,13982
2019-07-23,14085
2019-07-24,12837
2019-07-25,13413
2019-07-26,12617
2019-07-27,8865
2019-07-28,6885
2019-07-29,12523
2019-07-30,13940
2019-07-31,14255
2019-08-01,14008
2019-08-02,13344
2019-08-03,9013
2019-08-04,6591
2019-08-05,13764
2019-08-06,13470
2019-08-07,13691
2019-08-08,11622
2019-08-09,13627
2019-08-10,8892
2019-08-11,7268
2019-08-12,15126
2019-08-13,15974
2019-08-14,16251
2019-08-15,16087
2019-08-16,13946
2019-08-17,9653
2019-08-18,7154
2019-08-19,15567
2019-08-20,16270
2019-08-21,16248
2019-08-22,14862
2019-08-23,15084
2019-08-24,8141
2019-08-25,7379
2019-08-26,12707
2019-08-27,16260
2019-08-28,15095
2019-08-29,15918
2019-08-30,15231
2019-08-31,9803
2019-09-01,7535
2019-09-02,14028
2019-09-03,16002
2019-09-04,14716
2019-09-05,15295
2019-09-06,14734
2019-09-07,8771
2019-09-08,7338
2019-09-09,15563
2019-09-10,15589
2019-09-11,15959
2019-09-12,15863
2019-09-13,14457
2019-09-14,8852
2019-09-15,6441
2019-09-16,6082
2019-09-17,15865
2019-09-18,16153
2019-09-19,16171
2019-09-20,14459
2019-09-21,10092
2019-09-22,7698
2019-09-23,15410
2019-09-24,16122
2019-09-25,15795
2019-09-26,15248
2019-09-27,14028
2019-09-28,9779
2019-09-29,6139
2019-09-30,14739
2019-10-01,16105
2019-10-02,13661
2019-10-03,16027
2019-10-04,14801
2019-10-05,9859
2019-10-06,8149
2019-10-07,15951
2019-10-08,16533
2019-10-09,16267
2019-10-10,16063
2019-10-11,14927
2019-10-12,8777
2019-10-13,7051
2019-10-14,16005
2019-10-15,16577
2019-10-16,16719
2019-10-17,16064
2019-10-18,14245
2019-10-19,9632
2019-10-20,6837
2019-10-21,15364
2019-10-22,13275
2019-10-23,15509
2019-10-24,15479
2019-10-25,14751
2019-10-26,9442
2019-10-27,7305
2019-10-28,15313
2019-10-29,16339
2019-10-30,16568
2019-10-31,13256
2019-11-01,14797
2019-11-02,7300
2019-11-03,7238
2019-11-04,15308
2019-11-05,15613
2019-11-06,16343
2019-11-07,16179
2019-11-08,15350
2019-11-09,9661
2019-11-10,7296
2019-11-11,15185
2019-11-12,13675
2019-11-13,12822
2019-11-14,15536
2019-11-15,14707
2019-11-16,7974
2019-11-17,5871
2019-11-18,7461
2019-11-19,15225
2019-11-20,15525
2019-11-21,15295
2019-11-22,14549
2019-11-23,9227
2019-11-24,7199
2019-11-25,14324
2019-11-26,14295
2019-11-27,15082
2019-11-28,15050
2019-11-29,14558
2019-11-30,9483
2019-12-01,7015
2019-12-02,14849
2019-12-03,15504
2019-12-04,15124
2019-12-05,15000
2019-12-06,14401
2019-12-07,9046
2019-12-08,6913
2019-12-09,13899
2019-12-10,14225
2019-12-11,14083
2019-12-12,13252
2019-12-13,13144
2019-12-14,8844
2019-12-15,6614
2019-12-16,13381
2019-12-17,13691
2019-12-18,13272
2019-12-19,12726
2019-12-20,10908
2019-12-21,6015
2019-12-22,5366
2019-12-23,9417
2019-12-24,6116
2019-12-25,2616
2019-12-26,8032
2019-12-27,8535
2019-12-28,6028
2019-12-29,5341
2019-12-30,7964
2019-12-31,6158
